Total Wait Time,Cars Processed,Average Wait Time At An Intersection,Number Of Journeys Processed,Total Journey Time,Average Journey Time,Recording Duration,,,
645716,83334,7.748530012,3249,563544,173.4515235,900,,,
,,,,,,,,,
Intersection ID,Number Of Segments,Number Of Outgoing One Way Segments,Number Of Incoming One Way Segments,Total Time Waiting At Intersection,Number Of Vehicles Processed,Average Wait Time At Intersection,Rounded,Cols,Occurences
52,4,0,0,24295,1159,20.96203624,21,0,0
198,3,0,0,302,69,4.376811594,4,1,4
247,4,0,0,20870,1108,18.83574007,19,2,13
287,4,0,0,7009,1010,6.93960396,7,3,9
822,3,0,0,1740,433,4.018475751,4,4,22
1297,4,0,0,3040,815,3.73006135,4,5,23
1870,3,0,0,2708,430,6.297674419,6,6,16
2167,3,0,0,10759,850,12.65764706,13,7,6
2414,4,0,0,8495,1427,5.953048353,6,8,4
2743,3,0,0,16743,1180,14.18898305,14,9,3
3243,3,0,0,2008,338,5.940828402,6,10,4
3573,3,0,0,2509,1093,2.295516926,2,11,2
3660,3,0,0,3045,480,6.34375,6,13,3
3892,4,0,0,3426,709,4.832157969,5,14,2
3931,3,0,0,2974,523,5.686424474,6,16,1
4105,4,0,0,5241,686,7.639941691,8,18,1
4196,3,0,0,1012,219,4.621004566,5,19,2
4354,4,0,0,1878,279,6.731182796,7,21,2
4573,3,0,0,9241,915,10.09945355,10,22,2
4648,3,0,0,5657,1301,4.348193697,4,25,1
4800,3,0,0,221,165,1.339393939,1,29,1
5277,4,0,0,12177,1118,10.89177102,11,31,1
5381,3,0,0,1032,330,3.127272727,3,34,1
5515,3,0,0,3443,828,4.15821256,4,35,1
5601,3,0,0,2036,412,4.941747573,5,36,1
5663,4,0,0,18421,824,22.35558252,22,38,1
6781,3,0,0,3454,646,5.346749226,5,120,0
6796,3,0,0,996,793,1.255989912,1,,
6909,3,0,0,1097,260,4.219230769,4,,
7139,3,0,0,1414,296,4.777027027,5,,
7730,4,0,0,2541,348,7.301724138,7,,
8211,3,0,0,521,135,3.859259259,4,,
9115,3,0,0,1320,230,5.739130435,6,,
9137,3,0,0,1313,287,4.574912892,5,,
9795,3,0,0,2465,645,3.821705426,4,,
9831,3,0,0,34,24,1.416666667,1,,
10335,4,0,0,9043,269,33.61710037,34,,
10340,3,0,0,4088,531,7.698681733,8,,
10415,3,0,0,4383,1011,4.335311573,4,,
10437,4,0,0,11276,814,13.85257985,14,,
10570,3,0,0,53,14,3.785714286,4,,
10650,3,0,0,6,1,6,6,,
10661,3,0,0,1907,284,6.714788732,7,,
11135,3,0,0,297,86,3.453488372,3,,
11279,3,0,0,1637,774,2.11498708,2,,
11421,4,0,0,2760,967,2.854188211,3,,
11773,3,0,0,14987,590,25.40169492,25,,
11824,4,0,0,1320,268,4.925373134,5,,
11938,3,0,0,22576,592,38.13513514,38,,
12182,3,0,0,52,10,5.2,5,,
12811,3,0,0,3264,745,4.381208054,4,,
13403,4,0,0,2036,386,5.274611399,5,,
13952,4,0,0,3355,704,4.765625,5,,
14397,3,0,0,9269,500,18.538,19,,
14946,3,0,0,178,50,3.56,4,,
15052,4,0,0,7836,830,9.440963855,9,,
15163,4,0,0,4970,1029,4.829931973,5,,
15614,3,0,0,3206,1636,1.959657702,2,,
15712,4,0,0,2345,618,3.794498382,4,,
15854,3,0,0,6207,650,9.549230769,10,,
15922,3,0,0,4150,2272,1.826584507,2,,
15936,3,0,0,2305,703,3.278805121,3,,
16158,4,0,0,2511,552,4.548913043,5,,
16415,3,0,0,1767,359,4.922005571,5,,
16582,3,0,0,1072,267,4.014981273,4,,
17406,3,0,0,1364,243,5.613168724,6,,
17422,4,0,0,2360,384,6.145833333,6,,
17646,4,0,0,2711,499,5.432865731,5,,
17656,4,0,0,1465,275,5.327272727,5,,
17668,4,0,0,5716,1173,4.872975277,5,,
17691,4,0,0,16794,1079,15.56441149,16,,
17783,4,0,0,8710,1956,4.452965235,4,,
17846,3,0,0,853,365,2.336986301,2,,
17887,4,0,0,3505,662,5.294561934,5,,
18061,3,0,0,5588,271,20.6199262,21,,
18641,4,0,0,30259,1030,29.3776699,29,,
18796,3,0,0,1293,658,1.965045593,2,,
19923,3,0,0,6414,2897,2.214014498,2,,
20214,3,0,0,5373,795,6.758490566,7,,
20316,4,0,0,682,107,6.373831776,6,,
20477,3,0,0,14162,789,17.94930292,18,,
20833,3,0,0,7147,781,9.151088348,9,,
21234,3,0,0,972,276,3.52173913,4,,
21425,3,0,0,1248,515,2.423300971,2,,
21472,3,0,0,3975,396,10.03787879,10,,
21647,3,0,0,87,51,1.705882353,2,,
21768,3,0,0,1298,212,6.122641509,6,,
21913,3,0,0,1206,239,5.046025105,5,,
22323,3,0,0,5060,819,6.178266178,6,,
23010,3,0,0,3357,1122,2.99197861,3,,
23082,3,0,0,2229,442,5.042986425,5,,
23178,3,0,0,5483,666,8.232732733,8,,
23551,4,0,0,4709,1150,4.094782609,4,,
23912,3,0,0,8094,260,31.13076923,31,,
24094,3,0,0,1859,676,2.75,3,,
24764,3,0,0,685,142,4.823943662,5,,
25064,3,0,0,57,10,5.7,6,,
25098,3,0,0,1150,573,2.006980803,2,,
25241,3,0,0,23,8,2.875,3,,
25631,3,0,0,5943,935,6.356149733,6,,
25817,3,0,0,1790,362,4.944751381,5,,
26135,3,0,0,995,756,1.316137566,1,,
26375,3,0,0,727,184,3.951086957,4,,
26475,4,0,0,4939,744,6.63844086,7,,
26544,3,0,0,225,58,3.879310345,4,,
26572,3,0,0,3902,659,5.921092564,6,,
27291,3,0,0,16402,730,22.46849315,22,,
28060,3,0,0,3907,948,4.121308017,4,,
28076,4,0,0,26250,743,35.32974428,35,,
28253,3,0,0,1617,688,2.350290698,2,,
28446,3,0,0,7004,544,12.875,13,,
28471,3,0,0,7487,982,7.624236253,8,,
28563,3,0,0,11698,1242,9.418679549,9,,
28654,3,0,0,2283,770,2.964935065,3,,
28705,3,0,0,1929,410,4.704878049,5,,
28763,3,0,0,6893,640,10.7703125,11,,
29612,3,0,0,9595,2327,4.123334766,4,,
30204,3,0,0,2057,325,6.329230769,6,,
30329,4,0,0,12036,336,35.82142857,36,,
30678,4,0,0,21586,1680,12.84880952,13,,
30697,4,0,0,4092,962,4.253638254,4,,
31460,3,0,0,1374,630,2.180952381,2,,
31594,3,0,0,1301,682,1.907624633,2,,
31633,3,0,0,3753,1377,2.725490196,3,,
31880,4,0,0,6613,1271,5.202989772,5,,
32551,4,0,0,9137,951,9.607781283,10,,
