Total Wait Time,Cars Processed,Average Wait Time At An Intersection,Number Of Journeys Processed,Total Journey Time,Average Journey Time,Recording Duration,,,
705472,75591,9.332751253,2440,389623,159.6815574,900,,,
,,,,,,,,,
Intersection ID,Number Of Segments,Number Of Outgoing One Way Segments,Number Of Incoming One Way Segments,Total Time Waiting At Intersection,Number Of Vehicles Processed,Average Wait Time At Intersection,Rounded Wait Times,Average Wait Time,Occurences
52,4,0,0,15916,1237,12.86661277,13,0,0
198,3,0,0,192,43,4.465116279,4,1,10
247,4,0,0,38985,932,41.82939914,42,2,17
287,4,0,0,5566,1104,5.041666667,5,3,11
822,3,0,0,1405,337,4.169139466,4,4,15
1297,4,0,0,9728,481,20.22453222,20,5,18
1870,3,0,0,16815,202,83.24257426,83,6,8
2167,3,0,0,14202,693,20.49350649,20,7,4
2414,4,0,0,8102,1915,4.230809399,4,8,1
2743,3,0,0,7237,1516,4.773746702,5,9,3
3243,3,0,0,1178,347,3.39481268,3,10,3
3573,3,0,0,1960,1426,1.374474053,1,11,1
3660,3,0,0,2153,477,4.513626834,5,12,3
3892,4,0,0,5860,451,12.99334812,13,13,2
3931,3,0,0,1953,380,5.139473684,5,14,1
4105,4,0,0,4358,925,4.711351351,5,15,2
4196,3,0,0,837,219,3.821917808,4,16,1
4354,4,0,0,1611,248,6.495967742,6,19,2
4573,3,0,0,4872,688,7.081395349,7,20,2
4648,3,0,0,6106,969,6.301341589,6,23,2
4800,3,0,0,266,190,1.4,1,24,1
5277,4,0,0,10718,895,11.97541899,12,25,1
5381,3,0,0,714,216,3.305555556,3,28,1
5515,3,0,0,3361,563,5.969804618,6,32,1
5601,3,0,0,1809,420,4.307142857,4,33,1
5663,4,0,0,26190,615,42.58536585,43,34,1
6781,3,0,0,4350,492,8.841463415,9,35,1
6796,3,0,0,626,487,1.285420945,1,38,1
6909,3,0,0,883,170,5.194117647,5,42,1
7139,3,0,0,927,443,2.09255079,2,43,1
7730,4,0,0,1957,340,5.755882353,6,44,1
8211,3,0,0,455,195,2.333333333,2,50,1
